SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
CLI03L077,Cedro Limon,2,1202,si,bolsa 3 litros|bolsa 4 litros,,,,,,,,
CLI04L006,Clivia,25,624,si,bolsa 4 litros|bolsa 20 litros,,,,,,,,
CLO06P009,Clorofito,75,5535,si,maceta negra 6 pulgadas,,,,,,,,
CMA02L010,Croto Manzano,50,71,no,bolsa 2 litros,,,,,,,,
CMA06P109,Corazon De Maria,5,1828,si,maceta negra 6 pulgadas,,,,,,,,
CMO06P006,Cuna De Moises,23,2768,si,maceta negra 6 pulgadas|maceta negra 8 pulgadas,,,,,,,,
CNU06P109,Cascara De Nuez,2,1302,si,maceta negra 6 pulgadas,,,,,,,,
COL03P126,Colorata,6,0,no,maceta negra 3 pulgadas,,,,,,,,
COL06P109,Coleo,63,1527,si,maceta negra 6 pulgadas,,,,,,,,
COL08P126,Colgantes,1,2,no,maceta negra 8 pulgadas,,,,,,,,
CON10P009,Conchita,5,187,no,maceta negra 10 pulgadas|maceta negra 5 pulgadas,,,,,,,,
COR01L125,Col De Ornato,16,297,si,bolsa 1 litros,,,,,,,,
COR02L077,Corteza -,12,12,no,bolsa 2 litros,,,,,,,,
COR04L006,Croto Orange,96,4,no,bolsa 4 litros,,,,,,,,
COT02L010,Cotoneaster Verde,70,3578,si,bolsa 2 litros,,,,,,,,
CPE03L006,Croto Petra,310,16232,si,bolsa 3 litros|bolsa 6 litros|bolsa 2 litros|maceta negra 7 pulgadas|maceta negra 6 pulgadas|bolsa 15 litros|bolsa 4 litros,,,,,,,,
CPE04L006,Croto Petra Amarillo,93,2377,si,bolsa 4 litros,,,,,,,,
CPG03L006,Croto Pluma De Gallo,191,102,no,bolsa 3 litros,,,,,,,,
CRI01L127,Criptomeria,109,3012,si,bolsa 1 litros,,,,,,,,
CRI03L009,Crinum Enano,26,24,no,bolsa 3 litros,,,,,,,,
CRI06P121,Criptantus,18,6,no,maceta negra 6 pulgadas,,,,,,,,
CRI15L006,Crinum,5,38,no,bolsa 15 litros|bolsa 20 litros,,,,,,,,
CSA03L077,Cerezo Sakura Rellena R Bonsai,7,103,no,bolsa 3 litros,,,,,,,,
CSE12P114,Cuna Sensacion,5,863,si,maceta negra 12 pulgadas|maceta negra 11 pulgadas,,,,,,,,
CSN30L077,Cerezo Sakura Napoleon,15,16,no,bolsa 30 litros|bolsa 20 litros,,,,,,,,
CTO03L003,Croto Tornillo,152,8207,si,bolsa 3 litros|bolsa 2 litros|bolsa 15 litros|maceta negra 6 pulgadas,,,,,,,,
CTO10L010,Clavo Tobira,64,197,no,bolsa 10 litros,,,,,,,,
CUA30L129,Cuatecomate,1,27,no,bolsa 30 litros,,,,,,,,
CVE02L164,Clavo Verde,35,693,si,bolsa 2 litros|bolsa 3 litros,,,,,,,,
CVE45L077,Ciruelo Verde,2,4,no,bolsa 45 litros,,,,,,,,
DAY03L009,Dayanela,201,168,no,bolsa 3 litros,,,,,,,,
DCO06P121,Dracena Compacta,68,1488,si,maceta negra 6 pulgadas|bolsa 20 litros|maceta negra 10 pulgadas,,,,,,,,
DCU08L009,Duranta Cuba,164,7732,si,bolsa 8 litros|bolsa 4 litros|bolsa 45 litros|bolsa 60 litros,,,,,,,,
DDI20L077,Durazno Nectarino,2,2,no,bolsa 20 litros,,,,,,,,
DEB03P126,Debi,6,0,no,maceta negra 3 pulgadas,,,,,,,,
DGO20L009,Duranta Gold,3,223,si,bolsa 20 litros,,,,,,,,
DIC10P109,Dichondria,20,30,no,maceta negra 10 pulgadas,,,,,,,,
DIN40L157,Dracena Indivisa España,2,97,no,bolsa 40 litros,,,,,,,,
DIP06P200,Diplademia,75,605,si,maceta negra 6 pulgadas,,,,,,,,
DMA20L001,Dracena Marginata,21,187,no,bolsa 20 litros|bolsa 10 litros|maceta negra 11 pulgadas|maceta negra 6 pulgadas,,,,,,,,
DOL04L115,Dolar,30,80,no,bolsa 4 litros,,,,,,,,
DRA45L006,Dracena Draco,2,48,no,bolsa 45 litros,,,,,,,,
DRO04L200,Dracena Roja,150,2714,si,bolsa 4 litros|bolsa 6 litros,,,,,,,,
DRO06P126,Dosty Rous,2,1,no,maceta negra 6 pulgadas,,,,,,,,
DUR70L077,Durazno Oro Azteka,1,3,no,bolsa 70 litros,,,,,,,,
DWA12P157,Dracena Warneki Lemon,6,51,no,maceta negra 12 pulgadas,,,,,,,,
EAM06P006,Euphorbia Mini Roja,6,1206,si,maceta negra 6 pulgadas,,,,,,,,
ERO08P006,Euphorbia Roja,55,668,si,maceta negra 8 pulgadas,,,,,,,,
EBA60L145,Ebano,3,0,no,bolsa 60 litros,,,,,,,,
EES02L105,Esparrago Springueri,82,4314,si,bolsa 2 litros|maceta negra 10 pulgadas|maceta negra 6 pulgadas,,,,,,,,
ELE03L009,Eleagnus,53,1371,si,bolsa 3 litros,,,,,,,,
ELI01L125,Elia,26,108,no,bolsa 1 litros,,,,,,,,
EME06P006,Esparrago Meyeri,178,11868,si,maceta negra 6 pulgadas|bolsa 6 litros|bolsa 2 litros|bolsa 8 litros|bolsa 3 litros|maceta negra 11 pulgadas,,,,,,,,
EPL06P006,Esparrago Plumoso,57,8321,si,maceta negra 6 pulgadas,,,,,,,,
EPL18L010,Eleagnus Plateado,20,400,si,bolsa 18 litros,,,,,,,,
ERI03L125,Erika,3,100,no,bolsa 3 litros|bolsa 45 litros,,,,,,,,
ERO60L006,Encino Rojo,1,38,no,bolsa 60 litros|bolsa 80 litros,,,,,,,,
ESA06P003,Euphorbia Salmon,20,1650,si,maceta negra 6 pulgadas,,,,,,,,
ESP06P130,Espantamoscas,51,3894,si,maceta negra 6 pulgadas,,,,,,,,
EST01L125,Estafiate,18,81,no,bolsa 1 litros,,,,,,,,
ESV60L124,Encino Siempre Verde,1,3,no,bolsa 60 litros,,,,,,,,
ETI01L003,Euphorbia Tirucalli,99,574,si,bolsa 1 litros|maceta negra 6 pulgadas|bolsa 8 litros,,,,,,,,
EUC06P106,Eucharis,15,6,no,maceta negra 6 pulgadas,,,,,,,,
EUF06P006,Euphorbia Mini,117,3032,si,maceta negra 6 pulgadas|maceta negra 5 pulgadas,,,,,,,,
EUG30L170,Eugenia,5,5,no,bolsa 30 litros,,,,,,,,
EUP06P011,Euphorbia,19,1,no,maceta negra 6 pulgadas|maceta negra 10 pulgadas,,,,,,,,
EVO01L077,Evonimo,79,12184,si,bolsa 1 litros,,,,,,,,
FBA07P168,Ficus Bambino,93,79,no,maceta negra 7 pulgadas,,,,,,,,
FBE10L136,Ficus Benjamina,83,27,no,bolsa 10 litros|bolsa 6 litros|bolsa 20 litros|bolsa 30 litros|bolsa 45 litros,,,,,,,,
FLA30L006,Flama,28,22,no,bolsa 30 litros|bolsa 10 litros,,,,,,,,
FEI45L124,Feijoa,1,51,no,bolsa 45 litros|bolsa 80 litros,,,,,,,,
FFO45L145,Fouquieria Formosa,2,0,no,bolsa 45 litros,,,,,,,,
FHE45L077,Ficus Hector,1,45,no,bolsa 45 litros|bolsa 20 litros,,,,,,,,
FMA65L140,Flor De Mayo,2,14,no,bolsa 65 litros|bolsa 10 litros|bolsa 75 litros|bolsa 80 litros,,,,,,,,
FMO15L077,Ficus Moclame,1,51,no,bolsa 15 litros,,,,,,,,
FOR04L077,Forneo Verde,38,82,no,bolsa 4 litros,,,,,,,,
